Name	Category	Effect
Figy Berry icon Figy Berry	Berries	Restores HP if it's low, but may cause confusion.
Fine Remedy icon Fine Remedy	Medicine
Finizen Mucus icon Finizen Mucus	General items	Material obtained after defeating/catching Finizen, used in TM crafting.
Finneon Scales icon Finneon Scales	General items	Material obtained after defeating/catching Finneon, used in TM crafting.
Fire Gem icon Fire Gem	Hold items	Increases the power of a Fire-type move only once.
Fire Memory icon Fire Memory	Hold items	Changes Silvally and its move Multi-Attack to Fire type.
Fire Pattern Cup icon Fire Pattern Cup		A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.
Fire Stone icon Fire Stone	General items	Evolves certain species of Pokémon.
Fire Tera Shard icon Fire Tera Shard		Changes a Pokémon's Tera Type to Fire.
Firium Z icon Firium Z	Hold items	Allows the use of Inferno Overdrive, the Fire type Z-Move.
Fist Plate icon Fist Plate	Hold items	Increases power of Fighting-type moves. Changes Arceus' type to Fighting.
Flabébé Pollen icon Flabébé Pollen	General items	Material obtained after defeating/catching Flabébé, used in TM crafting.
Flame Orb icon Flame Orb	Hold items	An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.
Flame Plate icon Flame Plate	Hold items	Increases power of Fire-type moves. Changes Arceus' type to Fire.
Flamigo Down icon Flamigo Down	General items	Material obtained after defeating/catching Flamigo, used in TM crafting.
Fletchling Feather icon Fletchling Feather	General items	Material obtained after defeating/catching Fletchling, used in TM crafting.
Flittle Down icon Flittle Down	General items	Material obtained after defeating/catching Flittle, used in TM crafting.
Float Stone icon Float Stone	Hold items	A very light stone. It reduces the weight of a Pokémon when held.
Flower Pattern Cup icon Flower Pattern Cup		A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.
Flower Sweet icon Flower Sweet	Hold items	Evolves Milcery into Flower Flavor Alcremie.
Fluffy Tail icon Fluffy Tail	General items	An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Flying Gem icon Flying Gem	Hold items	Increases the power of a Flying-type move only once.
Flying Memory icon Flying Memory	Hold items	Changes Silvally and its move Multi-Attack to Flying type.
Flying Tera Shard icon Flying Tera Shard		Changes a Pokémon's Tera Type to Flying.
Flyinium Z icon Flyinium Z	Hold items	Allows the use of Supersonic Skystrike, the Flying type Z-Move.
Focus Band icon Focus Band	Hold items	An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.
Focus Sash icon Focus Sash	Hold items	An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.
Fomantis Leaf icon Fomantis Leaf	General items	Material obtained after defeating/catching Fomantis, used in TM crafting.
Foongus Spores icon Foongus Spores	General items	Material obtained after defeating/catching Foongus, used in TM crafting.
Fossilized Bird icon Fossilized Bird	General items	The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
Fossilized Dino icon Fossilized Dino	General items	The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
Fossilized Drake icon Fossilized Drake	General items	The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
Fossilized Fish icon Fossilized Fish	General items	The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
Fresh Cream icon Fresh Cream	General items	One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.
Fresh Water icon Fresh Water	Medicine	Restores 30 HP.
Fresh-Start Mochi icon Fresh-Start Mochi	Medicine	Resets a Pokémon's EVs.
Fried Fillet icon Fried Fillet		When used in a sandwich, this very salty and bitter ingredient is at its best paired with sour seasonings.
Fried Food icon Fried Food	General items	One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy.
Friend Ball icon Friend Ball	Pokeballs	A Poké Ball that makes caught Pokémon more friendly.
Frigibax Scales icon Frigibax Scales	General items	Material obtained after defeating/catching Frigibax, used in TM crafting.
Fruit Bunch icon Fruit Bunch	General items	One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.
Full Heal icon Full Heal	Medicine	Cures a Pokémon of any status condition.
Full Incense icon Full Incense	Hold items	Holder always attacks last. Breeding Snorlax produces Munchlax when held.
Full Restore icon Full Restore	Medicine	Fully restores HP and cures any status condition of a Pokémon.
Galarica Cuff icon Galarica Cuff	General items	Evolves Galarian Slowpoke into Galarian Slowbro.
Galarica Twig icon Galarica Twig	General items	Used to create Galarica Cuff/Wreath, to evolve Galarian Slowpoke.
Galarica Wreath icon Galarica Wreath	General items	Evolves Galarian Slowpoke into Galarian Slowking.
Galladite icon Galladite	Hold items	Enables Gallade to Mega Evolve during battle.
Ganlon Berry icon Ganlon Berry	Berries	Raises Defense when HP is low.
Garchompite icon Garchompite	Hold items	Enables Garchomp to Mega Evolve during battle.
Gardevoirite icon Gardevoirite	Hold items	Enables Gardevoir to Mega Evolve during battle.
Gastly Gas icon Gastly Gas	General items	Material obtained after defeating/catching Gastly, used in TM crafting.
Gengarite icon Gengarite	Hold items	Enables Gengar to Mega Evolve during battle.
Genius Feather icon Genius Feather	Medicine	Increases Special Attack EVs by 1.
Genius Mochi icon Genius Mochi	Medicine	Increases Special Attack EVs.
Genome Slate icon Genome Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Genome Room at Ramanas Park.
Gentle Mint icon Gentle Mint	Battle items	Changes the Pokémon's stats to match the Gentle nature.
Ghost Gem icon Ghost Gem	Hold items	Increases the power of a Ghost-type move only once.
Ghost Memory icon Ghost Memory	Hold items	Changes Silvally and its move Multi-Attack to Ghost type.
Ghost Tera Shard icon Ghost Tera Shard		Changes a Pokémon's Tera Type to Ghost.
Ghostium Z icon Ghostium Z	Hold items	Allows the use of Never-Ending Nightmare, the Ghost type Z-Move.
Gible Scales icon Gible Scales	General items	Material obtained after defeating/catching Gible, used in TM crafting.
Gigantamix icon Gigantamix	General items	One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.
Gigaton Ball icon Gigaton Ball	Pokeballs
Gimmighoul Coin icon Gimmighoul Coin	General items	Material obtained after defeating/catching Gimmighoul. Allows evolution into Gholdengo.
Girafarig Fur icon Girafarig Fur	General items	Material obtained after defeating/catching Girafarig, used in TM crafting.
Glalitite icon Glalitite	Hold items	Enables Glalie to Mega Evolve during battle.
Glimmet Crystal icon Glimmet Crystal	General items	Material obtained after defeating/catching Glimmet, used in TM crafting.
Gold Bottle icon Gold Bottle		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Gold Bottle Cap icon Gold Bottle Cap	General items	Maximizes all of a Pokémon's IV stats in Hyper Training.
Gold Cup icon Gold Cup		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Gold Leaf icon Gold Leaf	General items
Gold Pick icon Gold Pick		A golden pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings.
Golden Nanab Berry icon Golden Nanab Berry	Berries	Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.
Golden Pinap Berry icon Golden Pinap Berry	Berries	Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.
Golden Razz Berry icon Golden Razz Berry	Berries	Makes a Pokémon easier to catch in Pokémon Let's Go.
Gooey Mulch icon Gooey Mulch	General items	A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Goomy Goo icon Goomy Goo	General items	Material obtained after defeating/catching Goomy, used in TM crafting.
Gothita Eyelash icon Gothita Eyelash	General items	Material obtained after defeating/catching Gothita, used in TM crafting.
Grain Cake icon Grain Cake	General items
Grass Gem icon Grass Gem	Hold items	Increases the power of a Grass-type move only once.
Grass Memory icon Grass Memory	Hold items	Changes Silvally and its move Multi-Attack to Grass type.
Grass Tera Shard icon Grass Tera Shard		Changes a Pokémon's Tera Type to Grass.
Grassium Z icon Grassium Z	Hold items	Allows the use of Bloom Doom, the Grass type Z-Move.
Grassy Seed icon Grassy Seed	Hold items	An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
Great Ball icon Great Ball	Pokeballs	Catches wild Pokémon with 1.5x the rate of a Poké Ball.
Greavard Wax icon Greavard Wax	General items	Material obtained after defeating/catching Greavard, used in TM crafting.
Green Apricorn icon Green Apricorn	General items	A green Apricorn. It has a mysterious, aromatic scent.
Green Bell Pepper icon Green Bell Pepper		An ingredient with some bitterness. When sliced, it adds a nice accent to a sandwich.
Green Dish icon Green Dish		A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The green variety is quite popular.
Green Poké Ball Pick icon Green Poké Ball Pick		A sandwich pick with a simple green Poké Ball design. Often used by Trainers who picked a Grass-type Pokémon for their first partner.
Green Scarf icon Green Scarf	General items	Raises holder's Smart aspect in a Contest.
Green Shard icon Green Shard	General items	A small green shard. It appears to be from some sort of implement made long ago.
Grepa Berry icon Grepa Berry	Berries	Increases Friendship but lowers Special Defense EVs.
Grimer Toxin icon Grimer Toxin	General items	Material obtained after defeating/catching Grimer, used in TM crafting.
Grip Claw icon Grip Claw	Hold items	A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.
Griseous Core icon Griseous Core	Hold items
Griseous Orb icon Griseous Orb	Hold items	Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.
Grit Dust icon Grit Dust	Hold items	Raises EVs by 1 in Legends: Arceus, when current EVs are between 0-2.
Grit Gravel icon Grit Gravel	Hold items	Raises EVs by 1 in Legends: Arceus, when current EVs are between 3-5.
Grit Pebble icon Grit Pebble	Hold items	Raises EVs by 1 in Legends: Arceus, when current EVs are between 6-8.
Grit Rock icon Grit Rock	Hold items	Raises EVs by 1 in Legends: Arceus, when current EVs are between 8-9.
Ground Gem icon Ground Gem	Hold items	Increases the power of a Ground-type move only once.
Ground Memory icon Ground Memory	Hold items	Changes Silvally and its move Multi-Attack to Ground type.
Ground Tera Shard icon Ground Tera Shard		Changes a Pokémon's Tera Type to Ground.
Groundium Z icon Groundium Z	Hold items	Allows the use of Tectonic Rage, the Ground type Z-Move.
Growlithe Fur icon Growlithe Fur	General items	Material obtained after defeating/catching Growlithe, used in TM crafting.
Growth Mulch icon Growth Mulch	General items	A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grubby Hanky icon Grubby Hanky	Hold items	A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
Guard Spec. icon Guard Spec.	Battle items	Prevents stat reduction for five turns.
Gulpin Mucus icon Gulpin Mucus	General items	Material obtained after defeating/catching Gulpin, used in TM crafting.
Gyaradosite icon Gyaradosite	Hold items	Enables Gyarados to Mega Evolve during battle.
Haban Berry icon Haban Berry	Berries	Weakens a supereffective Dragon-type attack against the holding Pokémon.
Ham icon Ham		A very salty ingredient—and that very saltiness is what makes it such a nice companion to veggies.
Hamburger icon Hamburger		This very salty ingredient is the thing to add if you want to make your sandwich truly filling.
Happiny Dust icon Happiny Dust	General items	Material obtained after defeating/catching Happiny, used in TM crafting.
Hard Stone icon Hard Stone	Hold items	Increases the power of Rock-type moves.
Hasty Mint icon Hasty Mint	Battle items	Changes the Pokémon's stats to match the Hasty nature.
Hatenna Dust icon Hatenna Dust	General items	Material obtained after defeating/catching Hatenna, used in TM crafting.
Hawlucha Down icon Hawlucha Down	General items	Material obtained after defeating/catching Hawlucha, used in TM crafting.
Heal Ball icon Heal Ball	Pokeballs	Catches wild Pokémon and fully heals them.
Heal Powder icon Heal Powder	Medicine	Heals all status problems, but lowers Friendship.
Health Candy icon Health Candy	Medicine	Increases a Pokémon's HP stat by 1.
Health Candy L icon Health Candy L	Medicine	Increases a Pokémon's HP stat.
Health Candy XL icon Health Candy XL	Medicine	Increases a Pokémon's HP stat.
Health Feather icon Health Feather	Medicine	Increases HP EVs by 1.
Health Mochi icon Health Mochi	Medicine	Increases HP EVs.
Heart Scale icon Heart Scale	General items	A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.
Hearty Grains icon Hearty Grains	General items
Heat Rock icon Heat Rock	Hold items	A Pokémon held item that extends the duration of the move Sunny Day used by the holder.
Heavy Ball icon Heavy Ball	Pokeballs	A Poké Ball for catching very heavy Pokémon.
Heavy-Duty Boots icon Heavy-Duty Boots	Hold items	Protects the holder from traps set on the battlefield.
Helix Fossil icon Helix Fossil	General items	A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.
Heracronite icon Heracronite	Hold items	Enables Heracross to Mega Evolve during battle.
Heracross Claw icon Heracross Claw	General items	Material obtained after defeating/catching Heracross, used in TM crafting.
Herbed Sausage icon Herbed Sausage		A very salty and bitter ingredient. The balance between the potent saltiness and the herbs’ bitterness make this sausage a pleasure.
Heroic Sword Pick icon Heroic Sword Pick		A pick made to be the coolest. Once you’ve eaten, you can pretend you’re a hero of legend. Souvenir shops at tourist spots sell these for some reason.
Hi-tech Earbuds icon Hi-tech Earbuds	Hold items	Strange earbuds that allow you to freely control the volume of various sounds.
Hippopotas Sand icon Hippopotas Sand	General items	Material obtained after defeating/catching Hippopotas, used in TM crafting.
HM01 icon HM01	Machines	Teaches the move Cut.
HM02 icon HM02	Machines	Teaches the move Fly.
HM03 icon HM03	Machines	Teaches the move Surf.
HM04 icon HM04	Machines	Teaches the move Strength.
HM05 icon HM05	Machines	Teaches the move Flash/Defog/Whirlpool/Waterfall.
HM06 icon HM06	Machines	Teaches the move Whirlpool/Rock Smash/Dive.
HM07 icon HM07	Machines	Teaches the move Waterfall.
HM08 icon HM08	Machines	Teaches the move Dive/Rock Climb.
Hometown Muffin icon Hometown Muffin	General items
Hondew Berry icon Hondew Berry	Berries	Increases Friendship but lowers Special Attack EVs.
Honey icon Honey	General items	A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.
Honey Cake icon Honey Cake	General items
Honor Of Kalos icon Honor Of Kalos	Hold items	A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
Hopo Berry icon Hopo Berry	General items	A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled.
Hoppip Leaf icon Hoppip Leaf	General items	Material obtained after defeating/catching Hoppip, used in TM crafting.
Horseradish icon Horseradish		A very spicy condiment. Its distinctive sharp sizzle in your sinuses makes it a good match for rich fillings.
Houndoominite icon Houndoominite	Hold items	Enables Houndoom to Mega Evolve during battle.
Houndour Fang icon Houndour Fang	General items	Material obtained after defeating/catching Houndour, used in TM crafting.
HP Up icon HP Up	Medicine	Increases HP EVs by 10.
Hyper Potion icon Hyper Potion	Medicine	Restores 120 HP.
Iapapa Berry icon Iapapa Berry	Berries	Restores HP if it's low, but may cause confusion.
Ice Gem icon Ice Gem	Hold items	Increases the power of an Ice-type move only once.
Ice Heal icon Ice Heal	Medicine	Cures a Pokémon of freezing.
Ice Memory icon Ice Memory	Hold items	Changes Silvally and its move Multi-Attack to Ice type.
Ice Stone icon Ice Stone	General items	Evolves certain species of Pokémon.
Ice Tera Shard icon Ice Tera Shard		Changes a Pokémon's Tera Type to Ice.
Iceroot Carrot icon Iceroot Carrot	General items	Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.
Icicle Plate icon Icicle Plate	Hold items	Increases power of Ice-type moves. Changes Arceus' type to Ice.
Icium Z icon Icium Z	Hold items	Allows the use of Subzero Slammer, the Ice type Z-Move.
Icy Rock icon Icy Rock	Hold items	A Pokémon held item that extends the duration of the move Hail used by the holder.
Igglybuff Fluff icon Igglybuff Fluff	General items	Material obtained after defeating/catching Igglybuff, used in TM crafting.
Impidimp Hair icon Impidimp Hair	General items	Material obtained after defeating/catching Impidimp, used in TM crafting.
Impish Mint icon Impish Mint	Battle items	Changes the Pokémon's stats to match the Impish nature.
Incinium Z icon Incinium Z	Hold items	Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault.
Indeedee Fur icon Indeedee Fur	General items	Material obtained after defeating/catching Indeedee, used in TM crafting.
Insect Plate icon Insect Plate	Hold items	Increases power of Bug-type moves. Changes Arceus' type to Bug.
Instant Noodles icon Instant Noodles	General items	One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.
Intriguing Stone icon Intriguing Stone	Hold items	A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
Iron icon Iron	Medicine	Increases Defense EVs by 10.
Iron Ball icon Iron Ball	Hold items	A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
Iron Barktongue icon Iron Barktongue	General items
Iron Chunk icon Iron Chunk	General items
Iron Plate icon Iron Plate	Hold items	Increases power of Steel-type moves. Changes Arceus' type to Steel.
Item Drop icon Item Drop	Battle items	When used, it causes an ally Pokémon to drop a held item.
Item Urge icon Item Urge	Battle items	When used, it causes an ally Pokémon to use its held item.
Jaboca Berry icon Jaboca Berry	Berries	If held by a Pokémon and a physical attack lands, the attacker also takes damage.
Jalapeño icon Jalapeño		A very spicy ingredient—so spicy as to leave no room for ambivalence about it. You either like it or you don’t.
Jam icon Jam		A condiment that’s very sweet and likewise very sour. Take care when adding it to sandwiches, as the sweet side can overwhelm.
Jet Ball icon Jet Ball	Pokeballs
Johto Slate icon Johto Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Johto Room at Ramanas Park.
Jolly Mint icon Jolly Mint	Battle items	Changes the Pokémon's stats to match the Jolly nature.
Jubilife Muffin icon Jubilife Muffin	General items
Kangaskhanite icon Kangaskhanite	Hold items	Enables Kangaskhan to Mega Evolve during battle.
Kanto Slate icon Kanto Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Kanto Room at Ramanas Park.
Kasib Berry icon Kasib Berry	Berries	Weakens a supereffective Ghost-type attack against the holding Pokémon.
Kebia Berry icon Kebia Berry	Berries	Weakens a supereffective Poison-type attack against the holding Pokémon.
Kee Berry icon Kee Berry	Berries	If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.
Kelpsy Berry icon Kelpsy Berry	Berries	Increases Friendship but lowers Attack EVs.
Ketchup icon Ketchup		A condiment with very salty and tart flavor. While a number of other ingredients go into its signature flavor, the noble tomato is its heart and soul.
King's Leaf icon King's Leaf	General items
King's Rock icon King's Rock	Hold items	May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.
Kiwi icon Kiwi		A very tart ingredient that has a light touch of sweetness as well. It goes well with rich ingredients.
Klawf Claw icon Klawf Claw	General items	Material obtained after defeating/catching Klawf, used in TM crafting.
Klawf Stick icon Klawf Stick		A very sweet and salty ingredient. It’s a nutritious processed food made with a concentrate derived from shed Klawf shells.
Klefki Key icon Klefki Key	General items	Material obtained after defeating/catching Klefki, used in TM crafting.
Kofu's Wallet icon Kofu's Wallet		A wallet that was left behind by Kofu, the Gym Leader at the Cascarrafa Gym. You’re to deliver it to him at the market in Porto Marinada.
Komala Claw icon Komala Claw	General items	Material obtained after defeating/catching Komala, used in TM crafting.
Kommonium Z icon Kommonium Z	Hold items	Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze.
Koraidon's Poké Ball icon Koraidon's Poké Ball		A Poké Ball that can hold the mysterious Pokémon known as Koraidon. A boy named Arven gave it to you.
Kricketot Shell icon Kricketot Shell	General items	Material obtained after defeating/catching Kricketot, used in TM crafting.
Lagging Tail icon Lagging Tail	Hold items	Holder always attacks last.
Lansat Berry icon Lansat Berry	Berries	Increases critical-hit ratio when HP is low.
Large Leek icon Large Leek	General items	One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.
Larvesta Fuzz icon Larvesta Fuzz	General items	Material obtained after defeating/catching Larvesta, used in TM crafting.
Larvitar Claw icon Larvitar Claw	General items	Material obtained after defeating/catching Larvitar, used in TM crafting.
Latiasite icon Latiasite	Hold items	Enables Latias to Mega Evolve during battle.
Latiosite icon Latiosite	Hold items	Enables Latios to Mega Evolve during battle.
Lava Cookie icon Lava Cookie	Medicine	Heals all major status conditions.
Lax Incense icon Lax Incense	Hold items	Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.
Lax Mint icon Lax Mint	Battle items	Changes the Pokémon's stats to match the Lax nature.
Leaden Ball icon Leaden Ball	Pokeballs
Leader's Crest icon Leader's Crest		A shard of what appears to be an old blade of some sort. It is held only by Bisharp that head up a group of Pawniard.
Leaf Letter icon Leaf Letter	General items	A letter written on a leaf. Something is written using Eevee's footprints.
Leaf Stone icon Leaf Stone	General items	Evolves certain species of Pokémon.
Leafy Tablecloth icon Leafy Tablecloth		A botanically themed tablecloth featuring Grass-type Pokémon. Can you find the Pokémon that doesn’t quite fit in?
Lechonk Hair icon Lechonk Hair	General items	Material obtained after defeating/catching Lechonk, used in TM crafting.
Leek icon Leek	Hold items	Increases critical-hit ratio when held by Farfetch'd.
Leftovers icon Leftovers	Hold items	An item to be held by a Pokémon. The holder's HP is gradually restored during battle.
Legend Plate icon Legend Plate	Hold items
Lemonade icon Lemonade	Medicine	Restores 70 HP.
Leppa Berry icon Leppa Berry	Berries	If held by a Pokémon, it restores a move's PP by 10.
Lettuce icon Lettuce		This bitter-tasting ingredient is simple and straightforward—just add it to all kinds of other ingredients for a delightfully crunchy time.
Level Ball icon Level Ball	Pokeballs	A Poké Ball for catching Pokémon that are a lower level than your own.
Liechi Berry icon Liechi Berry	Berries	Raises Attack when HP is low.
Life Orb icon Life Orb	Hold items	Increases the power of moves, but loses HP each turn.
Light Ball icon Light Ball	Hold items	An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.
Light Clay icon Light Clay	Hold items	A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
Lilac Tablecloth icon Lilac Tablecloth		A light purple tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.
Linking Cord icon Linking Cord	General items	A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.
Litleo Tuft icon Litleo Tuft	General items	Material obtained after defeating/catching Litleo, used in TM crafting.
Loaded Dice icon Loaded Dice	Hold items	Makes multi-strike moves more likely to hit more times.
Lone Earring icon Lone Earring	General items
Lonely Mint icon Lonely Mint	Battle items	Changes the Pokémon's stats to match the Lonely nature.
Looker Ticket icon Looker Ticket	Hold items	A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.
Lopunnite icon Lopunnite	Hold items	Enables Lopunny to Mega Evolve during battle.
Lost Satchel icon Lost Satchel	General items
Love Ball icon Love Ball	Pokeballs	Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.
Love Sweet icon Love Sweet	Hold items	Evolves Milcery into Heart Flavor Alcremie.
Lucarionite icon Lucarionite	Hold items	Enables Lucario to Mega Evolve during battle.
Luck Incense icon Luck Incense	Hold items	Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.
Lucky Egg icon Lucky Egg	Hold items	An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.
Lucky Punch icon Lucky Punch	Hold items	Increases critical-hit ratio when held by Chansey.
Lum Berry icon Lum Berry	Berries	If held by a Pokémon, it recovers from any status problem.
Luminous Moss icon Luminous Moss	Hold items	Raises Special Defense if hit by a Water-type move.
Lumiose Galette icon Lumiose Galette	Medicine	Heals all major status conditions.
Lunalium Z icon Lunalium Z	Hold items	Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom.
Lure icon Lure	General items	Attracts Pokémon in the wild.
Lure Ball icon Lure Ball	Pokeballs	A Poké Ball for catching Pokémon hooked by a Rod when fishing.
Lustrous Globe icon Lustrous Globe	Hold items
Lustrous Orb icon Lustrous Orb	Hold items	Increases the power of Dragon- and Water-type moves when held by Palkia.
Luvdisc Scales icon Luvdisc Scales	General items	Material obtained after defeating/catching Luvdisc, used in TM crafting.
Luxury Ball icon Luxury Ball	Pokeballs	Catches wild Pokémon and increases their friendship more quickly.
Lycanium Z icon Lycanium Z	Hold items	Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards.
Macho Brace icon Macho Brace	Hold items	An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
Magical Heart Pick icon Magical Heart Pick		A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
Magical Star Pick icon Magical Star Pick		A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
Magikarp Scales icon Magikarp Scales	General items	Material obtained after defeating/catching Magikarp, used in TM crafting.
Magmarizer icon Magmarizer	General items	Evolves Magmar when traded holding the item.
Magnemite Screw icon Magnemite Screw	General items	Material obtained after defeating/catching Magnemite, used in TM crafting.
Magnet icon Magnet	Hold items	Increases the power of Electric-type moves.
Mago Berry icon Mago Berry	Berries	Restores HP if it's low, but may cause confusion.
Magost Berry icon Magost Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Makuhita Sweat icon Makuhita Sweat	General items	Material obtained after defeating/catching Makuhita, used in TM crafting.
Malicious Armor icon Malicious Armor	General items	Evolves Charcadet into Ceruledge.
Manectite icon Manectite	Hold items	Enables Manectric to Mega Evolve during battle.
Mankey Fur icon Mankey Fur	General items	Material obtained after defeating/catching Mankey, used in TM crafting.
Maranga Berry icon Maranga Berry	Berries	If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move.
Marble icon Marble	General items
Mareanie Spike icon Mareanie Spike	General items	Material obtained after defeating/catching Mareanie, used in TM crafting.
Mareep Wool icon Mareep Wool	General items	Material obtained after defeating/catching Mareep, used in TM crafting.
Marill Ball icon Marill Ball		A Marill-themed ball. It’s soft and springy. Make sure you haven’t mistaken a real Marill for this ball before throwing.
Marmalade icon Marmalade		A condiment with sour and bitter notes. It’s surprisingly useful, as it makes a nice counterpoint to oilier foods.
Marsh Balm icon Marsh Balm	General items
Marshadium Z icon Marshadium Z	Hold items	Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike.
Maschiff Fang icon Maschiff Fang	General items	Material obtained after defeating/catching Maschiff, used in TM crafting.
Master Ball icon Master Ball	Pokeballs	Catches any wild Pokémon without fail.
Masterpiece Teacup icon Masterpiece Teacup	General items	Evolves Poltchageist (Masterpiece) into Sinistcha (Masterpiece).
Mawilite icon Mawilite	Hold items	Enables Mawile to Mega Evolve during battle.
Max Elixir icon Max Elixir	Medicine	Fully restores PP to all moves of a Pokémon.
Max Ether icon Max Ether	Medicine	Fully restores PP to one move of a Pokémon.
Max Honey icon Max Honey	General items
Max Lure icon Max Lure	General items	Attracts Pokémon in the wild.
Max Mushrooms icon Max Mushrooms	General items
Max Potion icon Max Potion	Medicine	Fully restores HP.
Max Repel icon Max Repel	General items	An item that prevents weak wild Pokémon from appearing for 250 steps after its use.
Max Revive icon Max Revive	Medicine	Revives a fainted Pokémon, fully restoring its HP.
Mayonnaise icon Mayonnaise		A condiment that packs a very tart punch yet pairs well with various ingredients.
Meadow Plate icon Meadow Plate	Hold items	Increases power of Grass-type moves. Changes Arceus' type to Grass.
Medichamite icon Medichamite	Hold items	Enables Medicham to Mega Evolve during battle.
Medicinal Leek icon Medicinal Leek	General items
Meditite Sweat icon Meditite Sweat	General items	Material obtained after defeating/catching Meditite, used in TM crafting.
Mental Herb icon Mental Herb	Hold items	An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.
Meowth Fur icon Meowth Fur	General items	Material obtained after defeating/catching Meowth, used in TM crafting.
Metagrossite icon Metagrossite	Hold items	Enables Metagross to Mega Evolve during battle.
Metal Alloy icon Metal Alloy	General items	Evolves Duraludon into Archaludon.
